cohort_week,median_ttv_days,mean_ttv_days,n_users
2026-01-05/2026-01-11,9.0,11.285714285714286,49
2026-01-12/2026-01-18,10.0,12.38888888888889,36
2026-01-19/2026-01-25,13.0,11.8,5
2026-01-26/2026-02-01,12.0,14.75,20
2026-02-02/2026-02-08,10.0,14.37037037037037,27
2026-02-09/2026-02-15,12.0,13.185185185185185,27
2026-02-16/2026-02-22,14.5,16.785714285714285,14
2026-02-23/2026-03-01,16.0,16.23076923076923,26
2026-03-02/2026-03-08,16.5,21.307692307692307,26
2026-03-09/2026-03-15,12.0,16.15,20
2026-03-16/2026-03-22,12.0,13.357142857142858,28
2026-03-23/2026-03-29,21.0,20.789473684210527,19
2026-03-30/2026-04-05,17.0,18.0,13
2026-04-06/2026-04-12,17.0,17.0,1
