year_week,week_start,sessions,est_tokens,est_cost_usd
2026-01,2026-01-06,9,47600,0.09519999999999999
2026-02,2026-01-12,39,194650,0.3893
2026-03,2026-01-19,88,463250,0.9264999999999999
2026-04,2026-01-26,112,609450,1.2188999999999999
2026-05,2026-02-02,126,680850,1.3617
2026-06,2026-02-09,183,949450,1.8988999999999998
2026-07,2026-02-16,211,1149200,2.2984
2026-08,2026-02-23,233,1191700,2.3834
2026-09,2026-03-02,327,1759500,3.5189999999999997
2026-10,2026-03-09,342,1755250,3.5105
2026-11,2026-03-16,385,2020450,4.0409
2026-12,2026-03-23,425,2245700,4.4914
2026-13,2026-03-30,477,2438650,4.8773
2026-14,2026-04-06,464,2508350,5.016699999999999
2026-15,2026-04-13,494,2609500,5.218999999999999
2026-16,2026-04-20,503,2662200,5.3244
2026-17,2026-04-27,512,2701300,5.4026
2026-18,2026-05-04,534,2878100,5.7562
2026-19,2026-05-11,538,2928250,5.8565
2026-20,2026-05-18,556,2926550,5.8530999999999995
2026-21,2026-05-25,553,2888300,5.776599999999999
2026-22,2026-06-01,510,2671550,5.3431
2026-23,2026-06-08,540,2911250,5.8225
2026-24,2026-06-15,549,2922300,5.8446
2026-25,2026-06-22,547,2884900,5.769799999999999
2026-26,2026-06-29,539,2779500,5.558999999999999
2026-27,2026-07-06,552,2984350,5.968699999999999
2026-28,2026-07-13,537,2999650,5.9993
2026-29,2026-07-20,521,2681750,5.363499999999999
2026-30,2026-07-27,540,2762500,5.5249999999999995
2026-31,2026-08-03,550,2918900,5.8378
2026-32,2026-08-10,550,2957150,5.9143
2026-33,2026-08-17,532,2796500,5.593
2026-34,2026-08-24,529,2788000,5.576
2026-35,2026-08-31,533,2738700,5.477399999999999
2026-36,2026-09-07,125,662150,1.3242999999999998
