year_week,week_start,wau,value_events,sessions
2026-01,2026-01-06,8,5,9
2026-02,2026-01-12,30,25,39
2026-03,2026-01-19,60,65,88
2026-04,2026-01-26,65,86,112
2026-05,2026-02-02,79,96,126
2026-06,2026-02-09,100,131,183
2026-07,2026-02-16,115,159,211
2026-08,2026-02-23,118,161,233
2026-09,2026-03-02,145,238,327
2026-10,2026-03-09,157,244,342
2026-11,2026-03-16,179,270,385
2026-12,2026-03-23,185,322,425
2026-13,2026-03-30,198,350,477
2026-14,2026-04-06,205,338,464
2026-15,2026-04-13,220,364,494
2026-16,2026-04-20,210,356,503
2026-17,2026-04-27,210,373,512
2026-18,2026-05-04,210,395,534
2026-19,2026-05-11,199,405,538
2026-20,2026-05-18,206,407,556
2026-21,2026-05-25,208,398,553
2026-22,2026-06-01,204,362,510
2026-23,2026-06-08,204,403,540
2026-24,2026-06-15,207,406,549
2026-25,2026-06-22,202,404,547
2026-26,2026-06-29,207,376,539
2026-27,2026-07-06,206,420,552
2026-28,2026-07-13,206,412,537
2026-29,2026-07-20,207,378,521
2026-30,2026-07-27,206,390,540
2026-31,2026-08-03,205,401,550
2026-32,2026-08-10,206,404,550
2026-33,2026-08-17,201,388,532
2026-34,2026-08-24,205,390,529
2026-35,2026-08-31,206,369,533
2026-36,2026-09-07,125,88,125
